quartos,m2_quadrado,garagem,banheiros,direto com o proprietario,preço,cidade,bairro,link
4,120,2,3,1,R$ 290.000,Natal, Tirol,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-apartamento-por-do-sol-1347572674
3,200,2,3,1,R$ 279.999,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/otima-casa-no-bairro-neopolis-conjunto-pirangi-1361000877
1,130,1,1,0,R$ 280.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-neopolis-ampla-1-quarto-com-2-kitnets-ao-fundo-boa-localizacao-130m-1378837412
4,114,1,2,0,R$ 260.000,Natal, Nossa Senhora de Nazaré,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-venda-em-natal-rn-no-bairro-nossa-senhora-de-nazare-1378810862
3,85,1,2,1,R$ 245.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-terrea-com-garagem-em-otima-localizacao-1378787890
4,NULL,NULL,3,1,R$ 220.000,Natal, Nordeste,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-4-quartos-1371988861
2,65,2,1,0,R$ 170.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-no-bairro-planalto-natal-rn-1378636004
3,110,1,2,0,R$ 180.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-no-pitimbu-rl06-1356091865
3,120,1,3,1,R$ 155.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-com-urgencia-na-av-principal-155-mil-valor-avista-baixei-p-vender-1245188759
2,105,2,2,1,R$ 185.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vende-se-1378494929
2,100,2,2,1,R$ 170.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-condominio-no-bairro-planalto-1378430968
3,119,NULL,3,0,R$ 280.000,Natal, Lagoa Seca,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-3-dormitorios-a-venda-119-m-por-r-280-000-00-lagoa-seca-natal-rn-1378399740
2,300,1,1,0,R$ 290.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vende-se-casa-com-ponto-comercial-no-planalto-1378399624
3,170,2,3,0,R$ 220.000,Natal, Nossa Senhora da Apresentação,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-medindo-170-m-area-gourmet-portao-eletronico-no-bairro-n-s-apresentacao-1378370498
4,140,2,2,0,R$ 260.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-na-itapetinga-conjunto-santarem-1378342791
3,104,1,2,1,R$ 150.000,Natal, Dix-Sept Rosado,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-vender-em-cidade-nova-natal-rn-1377077882
3,130,2,2,0,R$ 195.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-ponta-negra-jbc96-1378231754
4,194,2,2,0,R$ 275.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-neopolis-natal-rn-1378228781
3,100,2,2,0,R$ 180.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-neopolis-fa30-1378227745
2,200,2,2,0,R$ 300.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-espacosa-em-neopolis-jm010-1378222737
3,140,2,2,0,R$ 220.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-candelaria-jm009-1378218281
4,194,2,3,0,R$ 275.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-4-dormitorios-a-venda-194-m-por-r-275-000-00-neopolis-natal-rn-1378110581
4,200,2,2,1,R$ 300.000,Natal, Bom Pastor,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-1-andar-so-venda-1378069833
4,379,5,2,1,R$ 270.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-de-379-m2-em-ponta-negra-1378064677
2,180,3,2,0,R$ 230.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-neopolis-cod-def-09-1378061169
3,140,1,2,0,R$ 160.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-cidade-da-esperanca-jm001-1378054647
3,148,2,2,0,R$ 250.000,Natal, Barro Vermelho,https://rn.olx.com.br/rio-grande-do-norte/imoveis/barro-vermelho-ah92-1378038325
4,NULL,1,2,1,R$ 150.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-soledade-2-1378031131
3,100,1,1,0,R$ 220.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-residencial-comercial-em-ponta-negra-1378030337
